date,code,name,turnover_ratio,pe,pb,average_price,money_ratio,circulating_market_cap,average_circulating_market_cap,dividend_ratio
2015-01-26,801140,轻工制造,2.7122,51.18,2.87,12.95,1.62,358339594300.0,4369995100.0,0.66
2015-01-26,801710,建筑材料,2.2189,21.11,2.27,13.61,1.31,407610016800.0,6083731600.0,1.03
2015-01-26,801050,有色金属,2.5506,52.38,3.41,15.75,4.39,993408168400.0,10456928100.0,0.48
2015-01-26,801160,公用事业,1.5348,21.66,2.69,14.12,3.07,1238636846700.0,11796541400.0,1.37
2015-01-26,801770,通信,1.714,45.19,3.24,18.89,1.61,467155844300.0,7917895700.0,0.42
2015-01-26,801780,银行,0.5068,7.03,1.25,10.0,5.87,5501064124300.0,343816507800.0,3.32
2015-01-26,801890,机械设备,2.4638,49.17,3.11,17.37,6.26,1449665784600.0,6330418300.0,0.64
2015-01-27,801130,纺织服装,4.0021,35.01,2.85,13.88,2.19,341665889100.0,4380331900.0,1.19
2015-01-27,801720,建筑装饰,3.5127,17.73,2.25,14.08,5.3,1035747370500.0,16183552700.0,1.06
2015-01-27,801150,医药生物,2.1761,42.13,4.69,26.9,4.71,1703436483400.0,8965455200.0,0.61
2015-01-27,801110,家用电器,3.2788,15.51,2.96,17.48,1.83,524656295700.0,9899175400.0,2.0
2015-01-27,801080,电子,2.6708,58.22,3.7,19.63,3.06,787722425500.0,5586683900.0,0.4
2015-01-27,801760,传媒,2.6181,60.84,5.87,33.99,2.94,705464239700.0,11564987500.0,0.34
2015-01-27,801740,国防军工,4.1716,117.87,4.33,26.06,3.16,638752418900.0,22025945500.0,0.17
2015-01-27,801210,休闲服务,2.8924,60.58,4.37,21.24,0.54,176454511900.0,5347106400.0,0.39
2015-01-27,801040,钢铁,1.8874,48.53,1.5,7.64,1.64,550935357200.0,16695010800.0,0.52
2015-01-27,801170,交通运输,1.7779,24.85,2.12,10.53,3.76,1342595782700.0,15795244500.0,1.36
2015-01-27,801230,综合,2.9942,55.41,4.01,12.28,1.17,269261305200.0,5080402000.0,0.25
2015-01-27,801020,采掘,0.6033,23.17,1.79,10.84,2.07,2979489261700.0,47293480300.0,1.48
2015-01-27,801790,非银金融,3.3186,34.02,3.4,23.05,13.86,3288695018300.0,91352639400.0,0.55
2015-01-27,801880,汽车,2.1915,19.88,2.71,16.82,2.8,1114698226800.0,10516021000.0,1.32
2015-01-27,801120,食品饮料,1.7381,24.69,3.8,22.14,1.73,920438351400.0,13535858100.0,1.77
2015-01-27,801730,电气设备,2.9934,48.24,3.59,17.33,3.86,959540838700.0,6527488700.0,0.55
2015-01-27,801200,商业贸易,3.371,34.15,2.86,12.32,3.36,703498438900.0,7405246700.0,0.83
2015-01-27,801030,化工,1.8036,36.0,2.87,14.17,5.44,1847317026100.0,7570971400.0,0.76
2015-01-27,801180,房地产,2.2803,19.22,2.43,10.94,5.33,1560630236400.0,10837710000.0,1.22
2015-01-27,801750,计算机,3.3905,73.88,6.67,33.47,5.02,1070985997200.0,8113530300.0,0.34
2015-01-27,801010,农林牧渔,3.335,59.71,3.75,13.45,2.05,457813771400.0,5652021900.0,0.43
2015-01-27,801140,轻工制造,3.1851,51.43,2.88,13.03,1.69,360331446400.0,4394285900.0,0.66
2015-01-27,801710,建筑材料,2.3063,21.14,2.27,13.63,1.25,407289440900.0,6078946900.0,1.03
2015-01-27,801050,有色金属,2.8033,52.21,3.4,15.76,4.09,990848858200.0,10429988000.0,0.48
2015-01-27,801160,公用事业,1.693,21.56,2.68,14.12,3.15,1231697885900.0,11730456100.0,1.38
2015-01-27,801770,通信,2.0941,45.18,3.24,19.07,1.62,465282883200.0,7886150600.0,0.42
2015-01-27,801780,银行,0.6044,6.85,1.22,9.76,6.12,5350276111700.0,334392257000.0,3.41
2015-01-27,801890,机械设备,2.8897,49.53,3.13,17.42,6.25,1460460047800.0,6377554800.0,0.64
2015-01-28,801130,纺织服装,2.7222,34.73,2.83,13.79,1.78,339640802500.0,4354369300.0,1.19
2015-01-28,801720,建筑装饰,3.0406,17.57,2.23,14.15,5.64,1021900672500.0,15967198000.0,1.06
2015-01-28,801150,医药生物,1.9815,41.94,4.65,26.83,5.03,1695467295600.0,8923512100.0,0.61
2015-01-28,801110,家用电器,2.6282,15.35,2.93,17.38,1.84,518835457000.0,9789348200.0,2.02
2015-01-28,801080,电子,2.357,58.12,3.68,19.68,3.57,786136164400.0,5575433800.0,0.4
2015-01-28,801760,传媒,3.4801,61.08,5.84,33.96,4.37,715067299500.0,11350274600.0,0.34
2015-01-28,801740,国防军工,3.2371,114.94,4.23,25.63,3.19,622527860700.0,21466478000.0,0.17
2015-01-28,801210,休闲服务,2.517,60.35,4.35,21.2,0.53,175215928800.0,5309573600.0,0.39
2015-01-28,801040,钢铁,1.3036,48.04,1.48,7.5,1.34,545199602800.0,16521200100.0,0.53
2015-01-28,801170,交通运输,1.699,24.96,2.12,10.88,4.19,1341240253200.0,15595816900.0,1.37
2015-01-28,801230,综合,2.6352,54.91,3.98,12.18,1.24,266735017000.0,5032736200.0,0.25
2015-01-28,801020,采掘,0.5257,22.84,1.77,10.82,2.03,2907255274000.0,46146909100.0,1.5
2015-01-28,801790,非银金融,2.7958,33.67,3.36,22.73,13.7,3228746856000.0,89687412700.0,0.55
2015-01-28,801880,汽车,1.6856,19.66,2.68,16.79,2.58,1100895262700.0,10385804400.0,1.34
2015-01-28,801120,食品饮料,1.3652,24.43,3.76,21.97,1.56,910170657000.0,13384862600.0,1.79
2015-01-28,801730,电气设备,2.5281,47.86,3.56,17.26,3.94,948868485500.0,6454887700.0,0.56
2015-01-28,801200,商业贸易,2.7811,34.22,2.86,12.38,3.37,702970019600.0,7322604400.0,0.83
2015-01-28,801030,化工,1.4169,35.71,2.84,14.11,5.34,1825109487400.0,7479956900.0,0.77
2015-01-28,801180,房地产,1.6005,18.97,2.4,10.84,4.45,1540044596800.0,10694754100.0,1.23
2015-01-28,801750,计算机,3.2899,73.19,6.61,33.39,5.84,1061866880200.0,8044446100.0,0.35
2015-01-28,801010,农林牧渔,2.6223,59.38,3.73,13.39,2.0,454703604600.0,5613624700.0,0.43
2015-01-28,801140,轻工制造,2.7103,51.35,2.88,12.97,1.74,360361256900.0,4394649500.0,0.66
2015-01-28,801710,建筑材料,1.9618,20.96,2.25,13.55,1.19,403148663000.0,6017144200.0,1.03
2015-01-28,801050,有色金属,1.7684,51.44,3.35,15.61,3.25,974869488400.0,10261784100.0,0.49
2015-01-28,801160,公用事业,1.4335,21.45,2.66,14.04,3.36,1224744325200.0,11664231700.0,1.38
2015-01-28,801770,通信,1.6646,44.69,3.21,18.92,1.67,460041023800.0,7797305500.0,0.42
2015-01-28,801780,银行,0.4351,6.75,1.2,9.66,5.3,5276722974300.0,329795185900.0,3.46
2015-01-28,801890,机械设备,2.2433,48.82,3.1,17.34,5.94,1439335335100.0,6285307100.0,0.65
2015-01-29,801130,纺织服装,2.0918,34.46,2.81,13.65,1.57,336107925000.0,4309076000.0,1.2
2015-01-29,801720,建筑装饰,2.2001,17.42,2.21,14.02,4.85,1016989877600.0,15890466800.0,1.07
2015-01-29,801150,医药生物,1.4649,41.33,4.59,26.53,4.44,1670644687200.0,8792866800.0,0.62
2015-01-29,801110,家用电器,1.9173,15.17,2.89,17.3,1.58,513345268600.0,9685759800.0,2.04
2015-01-29,801080,电子,2.5246,57.42,3.66,19.55,3.78,785813818100.0,5573147600.0,0.4
2015-01-29,801760,传媒,2.1184,61.12,5.8,34.36,3.33,711332056900.0,11114563400.0,0.34
2015-01-29,801740,国防军工,1.7764,113.06,4.16,25.25,2.0,611536265900.0,21087457400.0,0.18
2015-01-29,801210,休闲服务,2.0203,60.54,4.41,20.94,0.54,177976155500.0,5393216800.0,0.38
2015-01-29,801040,钢铁,1.56,48.32,1.49,7.53,1.69,549118263800.0,16639947400.0,0.53
2015-01-29,801170,交通运输,1.3508,24.93,2.12,10.88,3.95,1337500517200.0,15552331600.0,1.37
2015-01-29,801230,综合,2.199,54.66,3.9,12.14,1.2,265114762500.0,5002165300.0,0.25
2015-01-29,801020,采掘,0.4866,22.84,1.76,10.81,2.28,2875208531500.0,45638230700.0,1.5
2015-01-29,801790,非银金融,2.5485,33.0,3.3,22.43,14.06,3163126089400.0,87864613600.0,0.56
2015-01-29,801880,汽车,1.2599,19.43,2.65,16.7,2.26,1087440583200.0,10258873400.0,1.35
2015-01-29,801120,食品饮料,1.1675,24.2,3.72,21.78,1.55,901486279900.0,13257151200.0,1.81
2015-01-29,801730,电气设备,2.4598,47.73,3.55,17.12,4.31,953087181600.0,6483586300.0,0.56
2015-01-29,801200,商业贸易,2.4697,34.09,2.85,12.33,3.37,699337814400.0,7284768900.0,0.83
2015-01-29,801030,化工,1.5844,35.42,2.82,14.02,6.29,1801190366600.0,7351797400.0,0.78
2015-01-29,801180,房地产,1.4236,18.9,2.39,10.82,4.44,1534538365400.0,10656516400.0,1.24
2015-01-29,801750,计算机,2.5162,73.6,6.59,33.4,5.17,1060834833800.0,7976201800.0,0.35
2015-01-29,801010,农林牧渔,1.9672,58.98,3.71,13.3,1.69,451185451100.0,5570190800.0,0.43
2015-01-29,801140,轻工制造,2.2813,51.52,2.88,13.22,1.66,361052719400.0,4350032800.0,0.65
2015-01-29,801710,建筑材料,1.6406,20.8,2.23,13.5,1.2,401411515600.0,5991216700.0,1.04
2015-01-29,801050,有色金属,1.766,51.11,3.32,15.43,3.72,968352043100.0,10087000400.0,0.49
2015-01-29,801160,公用事业,2.3283,21.58,2.67,14.05,5.1,1237071612300.0,11781634400.0,1.38
2015-01-29,801770,通信,1.5376,44.17,3.17,18.8,1.6,454425767200.0,7702131600.0,0.43
2015-01-29,801780,银行,0.4517,6.61,1.18,9.48,6.04,5149369463000.0,321835591400.0,3.53
2015-01-29,801890,机械设备,2.1079,48.56,3.08,17.26,6.32,1432591584600.0,6228659100.0,0.65
2015-01-30,801130,纺织服装,2.0343,33.89,2.76,13.45,1.46,330609008400.0,4238577000.0,1.22
2015-01-30,801720,建筑装饰,2.223,16.85,2.14,13.85,4.98,978379155200.0,15287174300.0,1.11
2015-01-30,801150,医药生物,1.3556,41.03,4.56,26.28,4.12,1658625948000.0,8729610300.0,0.62
2015-01-30,801110,家用电器,3.3957,15.27,2.91,17.14,2.58,517186748800.0,9758240500.0,2.03
2015-01-30,801080,电子,2.1064,57.1,3.59,19.22,3.41,777621679000.0,5515047400.0,0.41
2015-01-30,801760,传媒,2.2887,60.57,5.75,34.08,3.4,704565837400.0,11008841200.0,0.34
2015-01-30,801740,国防军工,2.1085,111.66,4.11,25.09,2.32,603134879400.0,20797754500.0,0.18
2015-01-30,801210,休闲服务,1.5917,59.69,4.35,20.5,0.5,176293924500.0,5342240100.0,0.39
2015-01-30,801040,钢铁,1.2003,47.63,1.47,7.43,1.39,540333506000.0,16373742600.0,0.53
2015-01-30,801170,交通运输,1.1069,24.36,2.07,10.75,3.46,1307561929500.0,15204208500.0,1.4
2015-01-30,801230,综合,2.0073,53.84,3.84,12.02,1.1,261258124800.0,4929398600.0,0.26
2015-01-30,801020,采掘,0.3909,22.41,1.73,10.58,1.92,2804401772800.0,44514313900.0,1.53
2015-01-30,801790,非银金融,2.0063,32.29,3.22,21.9,11.68,3075136837100.0,85420467700.0,0.57
2015-01-30,801880,汽车,1.1584,19.14,2.61,16.48,2.27,1069612583500.0,10090684800.0,1.37
2015-01-30,801120,食品饮料,1.1872,24.16,3.72,21.73,1.77,901158546000.0,13252331600.0,1.81
2015-01-30,801730,电气设备,2.3157,46.87,3.49,16.9,4.18,933941786800.0,6353345500.0,0.57
2015-01-30,801200,商业贸易,2.0401,33.65,2.81,12.23,2.9,690642281900.0,7194190400.0,0.84
2015-01-30,801030,化工,1.3722,35.11,2.79,13.88,5.86,1779692286100.0,7264050100.0,0.78
2015-01-30,801180,房地产,1.8932,18.96,2.4,10.85,6.08,1540839358300.0,10700273300.0,1.23
